"","X","HBW_names","Tree_names","HBW_species_common_name","HBW_family","HBW_family_common_name","Data_source","Literature_Museum","Outer_volume..cm3","Inner_volume..cm3","Outer_volume_full..cm3","External_diameter..cm","Thickness..cm","External_height..cm","Internal_diameter..cm","Internal_height..cm","Body_mass..g","Migration_status","Migration_coded","Clutch_size","Nestling_period..days","Nest_builder_identity","Loc_vegetation","Loc_ground","Loc_rock","Loc_cavity_obligatory","Mean_nest_height..m","Range_midpoint_latitude","N_S","Insularity","Insularity_2","Mean_temperature","Mean_rainfall"
"222",222,"Chrysomma_sinense","Chrysomma_sinense","Yellow-eyed Babbler","Sylviidae","Old World warblers and parrotbills","Tring","M",226.02,81.02,307.05,7.4,1.07,10.7,5.27,5.57,17.16,"Not a Migrant",0,4,12.5,"Both",1,0,0,0,1.3,22.52,"N",0,0,24.32,109.12
"226",226,"Cicinnurus_magnificus","Cicinnurus_magnificus","Magnificent Bird-of-paradise","Paradisaeidae","Birds-of-paradise","Tring","M",602.32,169.1,771.42,14.3,3.16,7.18,7.98,5.09,89.8,"Not a Migrant",0,2,17.5,"Excl_Female Care",1,0,0,0,2.5,-7.85,"S",1,0,23.59,238.74
"235",235,"Coccothraustes_coccothraustes","Coccothraustes_coccothraustes","Hawfinch","Fringillidae","Finches","Tring","M",648.39,116.23,764.62,14.98,3.78,6.39,7.41,4.08,56.63,"Full Migrant",1,4,12.5,"Both",1,0,0,0,14,52.76,"N",0,0,7.09,46.44
"236",236,"Colluricincla_harmonica","Colluricincla_harmonica","Grey Shrike-thrush","Pachycephalidae","Whistlers","HBW","L",893.12,311.03,1204.15,15.6,2.83,9.45,9.95,6,65.8,"Not a Migrant",0,3,17.5,"Both",1,1,0,0,10,-26.4,"S",0,0,23.15,38.75
"237",237,"Colluricincla_megarhyncha","Colluricincla_megarhyncha","Little Shrike-thrush","Pachycephalidae","Whistlers","HBW","L",511.64,168.81,680.45,12.05,2.38,8.95,7.3,6.05,32.34,"Not a Migrant",0,2,11,"Both",1,0,0,0,30.25,-5.71,"S",0,0,24.14,195.45
"247",247,"Conopophila_rufogularis","Conopophila_rufogularis","Rufous-throated Honeyeater","Meliphagidae","Honeyeaters","HBW","L",125.73,29.22,154.95,6.8,1.8,6.4,3.2,5.45,10.8,"Not a Migrant",0,2.8,12,"Mainly Female",1,0,0,0,5.6,-17.99,"S",0,0,25.75,62.14
"253",253,"Contopus_sordidulus","Contopus_sordidulus","Western Wood-pewee","Tyrannidae","Tyrant-flycatchers","HBW","L",208.66,41.02,249.68,8.5,1.85,6.6,4.8,3.4,13.1,"Full Migrant",1,3,16,"Female",1,0,0,0,25,49.43,"N",0,0,8.12,44.21
"254",254,"Contopus_virens","Contopus_virens","Eastern Wood-pewee","Tyrannidae","Tyrant-flycatchers","BNA","L",99.08,26.58,125.66,8,1.63,3.75,4.75,2.25,13.9,"Full Migrant",1,3,17,"Female",1,0,0,0,15,40.83,"N",0,0,12.83,92.66
"256",256,"Corcorax_melanoramphos","Corcorax_melanorhamphos","White-winged Chough","Corcoracidae","White-winged Chough and Apostlebird","Tring","M",2569.58,944.14,3513.72,21.35,1.97,14.72,17.41,5.95,364,"Not a Migrant",0,4,27,"Excl_Group Care",1,0,0,0,11.2,-30.68,"S",0,0,16.99,48.31
"257",257,"Corvinella_corvina","Corvinella_corvina","Yellow-billed Shrike","Laniidae","Shrikes","Tring","M",429.47,130.63,560.1,14.47,3.17,5.11,8.13,3.77,65.4,"Not a Migrant",0,3.5,19,"Excl_Group Care",1,0,0,0,5.75,10.48,"N",0,0,26.91,79.93
"259",259,"Corvus_caurinus","Corvus_caurinus","Northwestern Crow","Corvidae","Crows and jays","BNA","L",13060.87,1356.26,14417.12,34.6,9,23,16.6,9.4,390.79,"Not a Migrant",0,4,32,"Excl_Group Care",1,1,0,0,25,53.84,"N",0,0,4.11,116.77
"260",260,"Corvus_corax","Corvus_corax","Common Raven","Corvidae","Crows and jays","BWP","L",110654.77,4427.31,115082.08,70.2,21.3,44.6,27.6,11.1,927.97,"Not a Migrant",0,5,38.5,"Mainly Female",1,0,1,0,24.5,57.52,"N",0,0,1.6,33.77
"261",261,"Corvus_corax","Corvus_corax","Common Raven","Corvidae","Crows and jays","BNA","L",192517.91,4955.34,197473.25,96.5,35.25,40.5,26,14,927.97,"Not a Migrant",0,5,38.5,"Mainly Female",1,0,1,0,24.5,57.52,"N",0,0,1.6,33.77
"262",262,"Corvus_corone","Corvus_corone","Carrion Crow","Corvidae","Crows and jays","BWP","L",35744.95,2586.42,38331.37,47.1,13.65,33,19.8,12.6,570,"Full Migrant",1,4,32,"Mainly Female",1,1,1,0,15,56.72,"N",0,0,4.58,37.1
"266",266,"Corvus_cryptoleucus","Corvus_cryptoleucus","Chihuahuan Raven","Corvidae","Crows and jays","BNA","L",34985.95,2375.04,37361,46.5,14.25,33,18,14,533.54,"Full Migrant",1,5,38.5,"Female",1,0,0,0,10.75,29.82,"N",0,0,19.52,30.63
"267",267,"Corvus_frugilegus","Corvus_frugilegus","Rook","Corvidae","Crows and jays","Tring","M",15873.81,1166.83,17040.65,42.37,13.43,18.63,15.5,9.28,452.1,"Full Migrant",1,4,33,"Both",1,0,0,0,20.2,52.8,"N",0,0,6.89,39.57
"268",268,"Corvus_frugilegus","Corvus_frugilegus","Rook","Corvidae","Crows and jays","BWP","L",26119.2,2513.27,28632.48,42,11,31,20,12,452.1,"Full Migrant",1,4,33,"Both",1,0,0,0,20.2,52.8,"N",0,0,6.89,39.57
"272",272,"Corvus_ossifragus","Corvus_ossifragus","Fish Crow","Corvidae","Crows and jays","BNA","L",18220.26,1595.34,19815.6,43.5,15.5,20,12.5,19.5,284.6,"Full Migrant",1,4.5,36,"Excl_Group Care",1,0,0,0,19.5,33.67,"N",0,0,18.51,112.31
"273",273,"Corvus_ossifragus","Corvus_ossifragus","Fish Crow","Corvidae","Crows and jays","HBW","L",24131.55,1876.58,26008.13,42.5,13.25,27.5,16,14,284.6,"Full Migrant",1,4.5,36,"Excl_Group Care",1,0,0,0,19.5,33.67,"N",0,0,18.51,112.31
"274",274,"Corvus_ossifragus","Corvus_ossifragus","Fish Crow","Corvidae","Crows and jays","BNA","L",24074.53,2314.26,26388.8,40.65,11.43,30.5,17.8,13.95,284.6,"Full Migrant",1,4.5,36,"Excl_Group Care",1,0,0,0,19.5,33.67,"N",0,0,18.51,112.31
"275",275,"Corvus_ruficollis","Corvus_ruficollis","Brown-necked Raven","Corvidae","Crows and jays","BWP","L",33969.52,4254.24,38223.76,46,10.5,34.5,25,13,573.5,"Not a Migrant",0,4,36.5,"Excl_Group Care",1,0,1,0,3.9,23.01,"N",0,0,23.87,9.12
"279",279,"Cracticus_nigrogularis","Cracticus_nigrogularis","Pied Butcherbird","Artamidae","Woodswallows and butcherbirds","HBW","L",2908.95,363.54,3272.49,25,6.75,10,11.5,5.25,128,"Not a Migrant",0,3,30,"Excl_Group Care",1,0,0,0,9,-25.21,"S",0,0,24.01,34.57
"280",280,"Cracticus_torquatus","Cracticus_torquatus","Grey Butcherbird","Artamidae","Woodswallows and butcherbirds","Tring","M",759.64,197.93,957.57,17.87,4.14,5.73,9.6,4.1,82.88,"Not a Migrant",0,3.5,25.5,"Excl_Group Care",1,0,0,0,7,-27.88,"S",0,0,22.18,30.86
"288",288,"Crithagra_mozambica","Serinus_mozambicus","Yellow-fronted Canary","Fringillidae","Finches","Tring","M",76.63,28.99,105.61,7.07,1.31,3.99,4.45,2.79,11.87,"Not a Migrant",0,3,20,"Mainly Female",1,0,0,0,4.5,-4.93,"S",0,0,23.53,89.11
"290",290,"Crithagra_sulphurata","Serinus_sulphuratus","Brimstone Canary","Fringillidae","Finches","Tring","M",93.56,40.89,134.44,8.51,1.51,3.5,5.49,2.59,27.9,"Not a Migrant",0,3,17.5,"Female",1,0,0,0,4,-13.82,"S",0,0,20.42,81.82
"298",298,"Cyanocitta_stelleri","Cyanocitta_stelleri","Steller's Jay","Corvidae","Crows and jays","BNA","L",9421.64,565.49,9987.12,34,11,16.5,12,7.5,128,"Not a Migrant",0,3,16,"Mainly Female",1,0,0,0,16.1,44.89,"N",0,0,9.24,54.34
"303",303,"Cyanocorax_cristatellus","Cyanocorax_cristatellus","Curl-crested Jay","Corvidae","Crows and jays","HBW","L",17266.95,849.62,18116.57,47.4,15.8,15.4,15.8,6.5,178,"Not a Migrant",0,5.5,24,"Excl_Group Care",1,0,0,0,4.65,-15.53,"S",0,0,23.52,123.68
"307",307,"Cyanoloxia_cyanoides","Cyanocompsa_cyanoides","Blue-black Grosbeak","Cardinalidae","Cardinals","NBO","L",689.44,156.28,845.72,13.95,3.15,8.3,7.65,5.1,32.5,"Not a Migrant",0,2,11.5,"Both",1,0,0,0,2.65,8.5,"N",0,0,25.33,186.46
"309",309,"Cyanopica_cyanus","Cyanopica_cyanus","Asian Azure-winged Magpie","Corvidae","Crows and jays","Tring","M",748.91,163,911.9,14.65,3.17,8.12,8.31,4.51,95.91,"Not a Migrant",0,6.5,17.5,"Excl_Group Care",1,1,0,0,7.5,47.81,"N",0,0,8.75,55.67
"310",310,"Cyanopica_cyanus","Cyanopica_cyanus","Asian Azure-winged Magpie","Corvidae","Crows and jays","BWP","L",990.18,450.27,1440.45,15.4,2.45,11.6,10.5,7.8,95.91,"Not a Migrant",0,6.5,17.5,"Excl_Group Care",1,1,0,0,7.5,47.81,"N",0,0,8.75,55.67
"321",321,"Dicrurus_aldabranus","Dicrurus_aldabranus","Aldabra Drongo","Dicruridae","Drongos","HBW","L",375.42,67.02,442.44,13,2.5,5,8,2,48.43,"Not a Migrant",0,2.1,17,"Both",1,0,0,0,7.5,-9.25,"S",1,1,26.53,81.63
"323",323,"Dicrurus_bracteatus","Dicrurus_bracteatus","Spangled Drongo","Dicruridae","Drongos","HBW","L",868.94,179.57,1048.51,15,2.75,8.9,9.5,3.8,85.53,"Full Migrant",1,3.67,21,"Both",1,0,0,0,11,-25.83,"S",0,0,23.43,127.49
"334",334,"Dicrurus_macrocercus","Dicrurus_macrocercus","Black Drongo","Dicruridae","Drongos","Tring","M",1012.08,377.52,1389.6,17.28,3.51,8.89,10.26,6.86,48.3,"Full Migrant",1,3.5,16.5,"Both",1,0,0,0,7.5,26.43,"N",0,0,22.69,101.59
"338",338,"Dicrurus_waldenii","Dicrurus_waldenii","Mayotte Drongo","Dicruridae","Drongos","HBW","L",1040.91,169.65,1210.56,17,4,8,9,4,50.48,"Not a Migrant",0,2.3,19.5,"Both",1,0,0,0,11.5,-12.75,"S",1,1,25.49,114.48
"347",347,"Dryoscopus_cubla","Dryoscopus_cubla","Black-backed Puffback","Malaconotidae","Bush-shrikes","Tring","M",98.22,60.85,159.07,7.93,1.15,4.83,5.62,3.67,26.23,"Not a Migrant",0,3,18,"Mainly Female",1,0,0,0,8.5,-14.27,"S",0,0,21.71,77.15
"349",349,"Dumetella_carolinensis","Dumetella_carolinensis","Grey Catbird","Mimidae","Mockingbirds and thrashers","BNA","L",751.05,162.32,913.37,14,2.85,8.9,8.3,4.5,35.3,"Full Migrant",1,3.5,12,"Mainly Female",1,1,0,0,1,43.41,"N",0,0,10.5,74.03
"350",350,"Dumetella_carolinensis","Dumetella_carolinensis","Grey Catbird","Mimidae","Mockingbirds and thrashers","Tring","M",754.78,114.53,869.32,14.56,3.83,7.67,6.9,4.59,35.3,"Full Migrant",1,3.5,12,"Mainly Female",1,1,0,0,1,43.41,"N",0,0,10.5,74.03
"352",352,"Dysithamnus_mentalis","Dysithamnus_mentalis","Plain Antvireo","Thamnophilidae","Typical antbirds","Tring","M",137.67,61.81,199.47,9.31,1.74,4.39,5.83,3.48,14.87,"Not a Migrant",0,2,9.5,"Both",1,0,0,0,1.55,-17.49,"S",0,0,22.21,135.07
"353",353,"Edolisoma_tenuirostre","Coracina_tenuirostris","Slender-billed Cicadabird","Campephagidae","Cuckoo-shrikes","Tring","M",136.18,24.7,160.88,9.01,2.08,3.35,4.84,1.96,60.92,"Full Migrant",1,1,27,"Both",1,0,0,0,17.5,-27.05,"S",0,0,23.13,128.68
"354",354,"Elaenia_chiriquensis","Elaenia_chiriquensis","Lesser Elaenia","Tyrannidae","Tyrant-flycatchers","Tring","M",120.89,46.36,167.25,7.95,1.56,5.06,4.83,3.8,15.4,"Full Migrant",1,2.25,15.5,"Female",1,0,0,0,2.5,-7.31,"S",0,0,24.33,146.97
"357",357,"Elaenia_frantzii","Elaenia_frantzii","Mountain Elaenia","Tyrannidae","Tyrant-flycatchers","Tring","M",132.28,29.35,161.63,7.94,1.79,4.9,4.35,2.96,19.6,"Not a Migrant",0,2,17,"Female",1,0,0,0,9.5,5.89,"N",0,0,18.93,147.65
"365",365,"Elminia_longicauda","Elminia_longicauda","African Blue-flycatcher","Stenostiridae","Fairy Flycatcher and allies","Tring","M",41.33,18.45,59.79,5.39,0.93,3.94,3.52,2.84,9.9,"Not a Migrant",0,1.5,14,"Excl_Group Care",1,0,0,0,5,1.94,"N",0,0,24.93,125.73
"367",367,"Emberiza_bruniceps","Emberiza_bruniceps","Red-headed Bunting","Emberizidae","Old World buntings","BWP","L",255.91,110.61,366.52,10,1.75,7,6.5,5,24.8,"Full Migrant",1,3.5,12.5,"Female",1,0,0,0,2.01,44.35,"N",0,0,12.51,24.7
"369",369,"Emberiza_calandra","Miliaria_calandra","Corn Bunting","Emberizidae","Old World buntings","Tring","M",493.6,138.96,632.56,12.8,2.83,7.4,7.15,5.08,48.5,"Full Migrant",1,5,11,"Female",0,1,0,0,0,45.49,"N",0,0,11.88,50.41
"370",370,"Emberiza_calandra","Miliaria_calandra","Corn Bunting","Emberizidae","Old World buntings","BWP","L",430.65,184.48,615.14,12.6,2.5,7.4,7.6,6.1,48.5,"Full Migrant",1,5,11,"Female",0,1,0,0,0,45.49,"N",0,0,11.88,50.41
"371",371,"Emberiza_cia","Emberiza_cia","Rock Bunting","Emberizidae","Old World buntings","BWP","L",554.45,72.91,627.35,12.9,3.5,7.2,5.9,4,23.43,"Full Migrant",1,4.5,11,"Female",0,1,0,0,2,40.62,"N",0,0,9.95,50.95
"372",372,"Emberiza_cirlus","Emberiza_cirlus","Cirl Bunting","Emberizidae","Old World buntings","Tring","M",445.62,88.25,533.87,12.44,3.04,6.51,6.35,4.19,25.6,"Not a Migrant",0,3.5,12,"Female",1,1,0,0,3,42.23,"N",0,0,12.81,58.32
"373",373,"Emberiza_cirlus","Emberiza_cirlus","Cirl Bunting","Emberizidae","Old World buntings","BWP","L",432.67,98.07,530.74,12.3,2.85,6.7,6.6,4.3,25.6,"Not a Migrant",0,3.5,12,"Female",1,1,0,0,3,42.23,"N",0,0,12.81,58.32
"374",374,"Emberiza_citrinella","Emberiza_citrinella","Yellowhammer","Emberizidae","Old World buntings","Tring","M",449.67,87.43,537.11,12.88,3.3,5.94,6.27,4.15,29.7,"Full Migrant",1,4,12,"Female",1,1,0,0,0.91,57.81,"N",0,0,5.11,44.34
"375",375,"Emberiza_citrinella","Emberiza_citrinella","Yellowhammer","Emberizidae","Old World buntings","BWP","L",443.44,86.93,530.36,12.25,3,6.75,6.25,4.25,29.7,"Full Migrant",1,4,12,"Female",1,1,0,0,0.91,57.81,"N",0,0,5.11,44.34
"376",376,"Emberiza_flaviventris","Emberiza_flaviventris","Golden-breasted Bunting","Emberizidae","Old World buntings","Tring","M",139.24,39.23,178.47,8.77,1.92,4.23,4.92,3.07,18.24,"Not a Migrant",0,3,14.5,"Female",1,0,0,0,1.25,-18.09,"S",0,0,22.18,64.68
"381",381,"Emberiza_melanocephala","Emberiza_melanocephala","Black-headed Bunting","Emberizidae","Old World buntings","BWP","L",638.02,122.15,760.16,14.2,3.65,7.2,6.9,4.9,28.31,"Full Migrant",1,4.5,15,"Female",1,0,0,0,2.5,37.8,"N",0,0,13.66,45.08
"382",382,"Emberiza_melanocephala","Emberiza_melanocephala","Black-headed Bunting","Emberizidae","Old World buntings","Tring","M",279.8,74.73,354.53,11.36,2.57,5.25,6.21,3.71,28.31,"Full Migrant",1,4.5,15,"Female",1,0,0,0,2.5,37.8,"N",0,0,13.66,45.08
"384",384,"Emberiza_pusilla","Emberiza_pusilla","Little Bunting","Emberizidae","Old World buntings","BWP","L",73.73,83.13,156.85,7.9,0.8,4.8,6.3,4,14.57,"Full Migrant",1,5,7,"Female",1,1,0,0,0.75,64.01,"N",0,0,-2.74,29.95
"385",385,"Emberiza_rustica","Emberiza_rustica","Rustic Bunting","Emberizidae","Old World buntings","BWP","L",447.96,117.52,565.49,12,2.65,7.5,6.7,5,20.54,"Full Migrant",1,5,8.5,"Mainly Female",1,1,0,0,2.25,62.29,"N",0,0,-1.35,32.87
"388",388,"Emberiza_schoeniclus","Emberiza_schoeniclus","Reed Bunting","Emberizidae","Old World buntings","Tring","M",327.11,59.92,387.03,11.16,2.78,5.84,5.6,3.62,18.4,"Full Migrant",1,4.5,10.5,"Female",1,1,0,0,2,58.01,"N",0,0,4.09,37.09
"390",390,"Emberiza_striolata","Emberiza_striolata","Striolated Bunting","Emberizidae","Old World buntings","BWP","L",574.17,50.22,624.39,15,3.85,5.3,7.3,1.8,14.8,"Not a Migrant",0,3,13,"Mainly Female",0,1,1,0,10,28.23,"N",0,0,26.86,15.36
"394",394,"Empidonax_alnorum","Empidonax_alnorum","Alder Flycatcher","Tyrannidae","Tyrant-flycatchers","BNA","L",307.08,49.74,356.82,8.8,1.9,8.8,5,3.8,12.7,"Full Migrant",1,3.5,14,"Female",1,0,0,0,0.81,56.26,"N",0,0,2.26,50.91
"395",395,"Empidonax_alnorum","Empidonax_alnorum","Alder Flycatcher","Tyrannidae","Tyrant-flycatchers","BNA","L",163.84,56.74,220.58,8.21,1.44,6.25,5.34,3.8,12.7,"Full Migrant",1,3.5,14,"Female",1,0,0,0,0.81,56.26,"N",0,0,2.26,50.91
"396",396,"Empidonax_alnorum","Empidonax_alnorum","Alder Flycatcher","Tyrannidae","Tyrant-flycatchers","BNA","L",390.11,54.32,444.43,9.1,2.05,10.25,5,4.15,12.7,"Full Migrant",1,3.5,14,"Female",1,0,0,0,0.81,56.26,"N",0,0,2.26,50.91
"399",399,"Empidonax_fulvifrons","Empidonax_fulvifrons","Buff-breasted Flycatcher","Tyrannidae","Tyrant-flycatchers","BNA","L",159.2,29.49,188.69,7.75,1.95,6,3.85,3.8,7.9,"Full Migrant",1,3.5,16,"Female",1,0,0,0,7.35,23.87,"N",0,0,19.23,55.97
"400",400,"Empidonax_hammondii","Empidonax_hammondii","Hammond's Flycatcher","Tyrannidae","Tyrant-flycatchers","BNA","L",161.75,42.53,204.28,8.5,1.4,5.4,5.7,2.5,10.44,"Full Migrant",1,4,17,"Female",1,0,0,0,9.25,54.53,"N",0,0,4.12,44.84
"401",401,"Empidonax_minimus","Empidonax_minimus","Least Flycatcher","Tyrannidae","Tyrant-flycatchers","BNA","L",53.23,33.93,87.16,6.8,1.15,3.6,4.5,3.2,10,"Full Migrant",1,4,14.5,"Female",1,0,0,0,7.8,52.7,"N",0,0,4.47,53
"403",403,"Empidonax_minimus","Empidonax_minimus","Least Flycatcher","Tyrannidae","Tyrant-flycatchers","BNA","L",80.96,30.41,111.37,6.8,1.2,4.6,4.4,3,10,"Full Migrant",1,4,14.5,"Female",1,0,0,0,7.8,52.7,"N",0,0,4.47,53
"404",404,"Empidonax_minimus","Empidonax_minimus","Least Flycatcher","Tyrannidae","Tyrant-flycatchers","BNA","L",167.72,31.81,199.53,7.25,1.38,7.25,4.5,3,10,"Full Migrant",1,4,14.5,"Female",1,0,0,0,7.8,52.7,"N",0,0,4.47,53
"405",405,"Empidonax_oberholseri","Empidonax_oberholseri","American Dusky Flycatcher","Tyrannidae","Tyrant-flycatchers","BNA","L",153.49,52.95,206.44,7.4,1.05,7.2,5.3,3.6,10.4,"Full Migrant",1,4,17.5,"Female",1,0,0,0,2,45.56,"N",0,0,7.44,41.05
"406",406,"Empidonax_traillii","Empidonax_traillii","Willow Flycatcher","Tyrannidae","Tyrant-flycatchers","BNA","L",167.63,55.89,223.52,7.7,1.2,7.2,5.3,3.8,13.39,"Full Migrant",1,3.5,14,"Female",1,0,0,0,10.3,43.09,"N",0,0,10.5,62.49
"407",407,"Empidonax_traillii","Empidonax_traillii","Willow Flycatcher","Tyrannidae","Tyrant-flycatchers","BNA","L",180.67,55.22,235.89,8.2,1.5,6.7,5.2,3.9,13.39,"Full Migrant",1,3.5,14,"Female",1,0,0,0,10.3,43.09,"N",0,0,10.5,62.49
"408",408,"Empidonax_virescens","Empidonax_virescens","Acadian Flycatcher","Tyrannidae","Tyrant-flycatchers","BNA","L",80.42,36.77,117.19,7.3,1.1,4.2,5.1,2.7,12.6,"Full Migrant",1,3,15,"Female",1,0,0,0,6,37.08,"N",0,0,15.87,102.47
"409",409,"Empidonax_virescens","Empidonax_virescens","Acadian Flycatcher","Tyrannidae","Tyrant-flycatchers","BNA","L",116.67,32.97,149.63,8.05,1.62,4.41,4.82,2.71,12.6,"Full Migrant",1,3,15,"Female",1,0,0,0,6,37.08,"N",0,0,15.87,102.47
"410",410,"Empidonax_wrightii","Empidonax_wrightii","American Grey Flycatcher","Tyrannidae","Tyrant-flycatchers","BNA","L",190.38,30.16,220.54,9,2.1,5.2,4.8,2.5,12.3,"Full Migrant",1,3.5,16,"Mainly Female",1,0,0,0,3,39.76,"N",0,0,9.32,26.32
"411",411,"Empidonax_wrightii","Empidonax_wrightii","American Grey Flycatcher","Tyrannidae","Tyrant-flycatchers","BNA","L",303.79,56.55,360.34,10.6,2.3,6.13,6,3,12.3,"Full Migrant",1,3.5,16,"Mainly Female",1,0,0,0,3,39.76,"N",0,0,9.32,26.32
"412",412,"Empidonax_wrightii","Empidonax_wrightii","American Grey Flycatcher","Tyrannidae","Tyrant-flycatchers","BNA","L",356.26,111.37,467.63,12.1,2.65,6.1,6.8,4.6,12.3,"Full Migrant",1,3.5,16,"Mainly Female",1,0,0,0,3,39.76,"N",0,0,9.32,26.32
"416",416,"Eopsaltria_australis","Eopsaltria_australis","Eastern Yellow Robin","Petroicidae","Australasian robins","HBW","L",168.6,65.97,234.57,8,1,7,6,3.5,20.15,"Not a Migrant",0,2,12,"Excl_Group Care",1,0,0,0,3.5,-30.28,"S",0,0,18.96,62.85
"418",418,"Eremophila_alpestris","Eremophila_alpestris","Horned Lark","Alaudidae","Larks","Tring","M",252.01,53.99,306,12.33,3.2,3.84,5.94,2.93,33.33,"Full Migrant",1,3.5,10.5,"Female",0,1,0,0,0,58.58,"N",0,0,1.38,32.29
"421",421,"Eremopterix_nigriceps","Eremopterix_nigriceps","Black-crowned Sparrow-lark","Alaudidae","Larks","Tring","M",236.56,36.18,272.74,11.03,2.95,4.28,5.13,2.62,13.85,"Nomadic",0,2.5,8,"Female",0,1,0,0,0.5,15.98,"N",0,0,26.96,18.73
"422",422,"Erithacus_rubecula","Erithacus_rubecula","European Robin","Muscicapidae","Old World flycatchers and chats","BWP","L",358.93,39.27,398.2,13,4,4.5,5,3,17.7,"Full Migrant",1,5.5,13,"Female",1,1,1,0,2.5,55.93,"N",0,0,7.7,51.45
"423",423,"Erithacus_rubecula","Erithacus_rubecula","European Robin","Muscicapidae","Old World flycatchers and chats","Tring","M",667.66,98.4,766.06,14.16,3.81,7.31,6.56,4.14,17.7,"Full Migrant",1,5.5,13,"Female",1,1,1,0,2.5,55.93,"N",0,0,7.7,51.45
"424",424,"Eucometis_penicillata","Eucometis_penicillata","Grey-headed Tanager","Thraupidae","Tanagers","HBW","L",179.99,81.81,261.8,10,1.88,5,6.25,4,27,"Not a Migrant",0,1.5,11.5,"Both",1,0,0,0,1.75,-9.67,"S",0,0,25.3,168.68
"428",428,"Euphagus_carolinus","Euphagus_carolinus","Rusty Blackbird","Icteridae","New World blackbirds","BNA","L",912.41,284.7,1197.11,14.1,2.25,11.5,9.6,5.9,59.57,"Full Migrant",1,4,14,"Female",1,1,0,0,3,59.28,"N",0,0,0.26,42.79
"435",435,"Eurocephalus_anguitimens","Eurocephalus_anguitimens","Southern White-crowned Shrike","Laniidae","Shrikes","Tring","M",257.34,103.33,360.68,10.67,1.43,6.05,7.8,3.24,69.04,"Not a Migrant",0,3.5,19,"Excl_Group Care",1,0,0,0,5,-20.76,"S",0,0,21.36,42.26
"438",438,"Falcunculus_frontatus","Falcunculus_frontatus","Eastern Shrike-tit","Falcunculidae","Shrike-tits","HBW","L",219.91,49.25,269.16,7.6,1.58,8.9,4.45,4.75,27.94,"Not a Migrant",0,3,16,"Excl_Group Care",1,0,0,0,16.5,-33.41,"S",0,0,17.19,56.56
"447",447,"Fringilla_coelebs","Fringilla_coelebs","Common Chaffinch","Fringillidae","Finches","Tring","M",232.01,63.58,295.59,9.75,2.27,5.92,5.21,4.44,23.81,"Full Migrant",1,4.5,14.5,"Female",1,0,0,0,10.5,55,"N",0,0,7.53,47.16
"448",448,"Fringilla_coelebs","Fringilla_coelebs","Common Chaffinch","Fringillidae","Finches","BWP","L",242.29,58.83,301.12,9,1.85,7.1,5.3,4,23.81,"Full Migrant",1,4.5,14.5,"Female",1,0,0,0,10.5,55,"N",0,0,7.53,47.16
"449",449,"Fringilla_montifringilla","Fringilla_montifringilla","Brambling","Fringillidae","Finches","Tring","M",285.27,75.92,361.19,10.96,2.58,6.19,5.85,4.23,23.19,"Full Migrant",1,6,13.5,"Female",1,1,0,0,7.5,61.94,"N",0,0,-0.41,33.34
"450",450,"Fringilla_montifringilla","Fringilla_montifringilla","Brambling","Fringillidae","Finches","BWP","L",720.94,87.67,808.62,12.75,3.33,9.5,6.1,4.5,23.19,"Full Migrant",1,6,13.5,"Female",1,1,0,0,7.5,61.94,"N",0,0,-0.41,33.34
"451",451,"Fringilla_teydea","Fringilla_teydea","Tenerife Blue Chaffinch","Fringillidae","Finches","Tring","M",324.93,88.68,413.6,11.37,2.39,6.12,6.59,3.91,30.3,"Not a Migrant",0,2,17.5,"Female",1,0,0,0,10.75,28.25,"N",1,1,15.53,19.25
"452",452,"Fringilla_teydea","Fringilla_teydea","Tenerife Blue Chaffinch","Fringillidae","Finches","BWP","L",419.33,103.97,523.31,12.4,2.95,6.5,6.5,4.7,30.3,"Not a Migrant",0,2,17.5,"Female",1,0,0,0,10.75,28.25,"N",1,1,15.53,19.25
"458",458,"Garrulus_glandarius","Garrulus_glandarius","Eurasian Jay","Corvidae","Crows and jays","BWP","L",4028.36,540.32,4568.69,23.5,5.45,15.8,12.6,6.5,159.46,"Not a Migrant",0,6,21,"Both",1,0,0,0,5,53.44,"N",0,0,6.87,46.87
"459",459,"Garrulus_glandarius","Garrulus_glandarius","Eurasian Jay","Corvidae","Crows and jays","Tring","M",1466.8,326.47,1793.27,19.4,4.08,8.62,11.24,4.81,159.46,"Not a Migrant",0,6,21,"Both",1,0,0,0,5,53.44,"N",0,0,6.87,46.87
"465",465,"Geothlypis_formosa","Oporornis_formosus","Kentucky Warbler","Parulidae","New World warblers","BNA","L",156.09,53.61,209.7,8.03,1.41,6.21,5.21,3.77,14,"Full Migrant",1,4.5,9,"Female",1,1,0,0,0.5,36.26,"N",0,0,16.24,110.11
"469",469,"Geothlypis_trichas","Geothlypis_trichas","Common Yellowthroat","Parulidae","New World warblers","BNA","L",223.51,77.77,301.28,8.6,1.47,7.78,5.67,4.62,9.54,"Full Migrant",1,4,9,"Female",1,1,0,0,0.05,47.17,"N",0,0,8.76,61.27
"475",475,"Grallaria_gigantea","Grallaria_gigantea","Giant Antpitta","Grallariidae","Antpittas","NBO","L",8777.71,725.6,9503.32,27.5,7.25,24,13,8.2,236,"Not a Migrant",0,2,22,"Both",1,0,0,0,7,0,"S",0,0,14.92,148.84
